question	correct_answer	wrong_choice	explanation	reference
How do you control your phone addiction without going full caveman?	Turn off non-essential notifications and set app limits ğŸ˜—	Yeet your phone into a lake like itâ€™s cursed ğŸ’€	Small tweaks like limiting alerts and screen time can seriously reduce mindless scrolling.	https://www.youtube.com/results?search_query=how+to+control+phone+addiction
Whatâ€™s the lowkey best way to control your temper when someoneâ€™s yappin?	Take a deep breath and count to 10 before responding ğŸ™	Start a WWE match in the living room ğŸ¤¼ğŸ’€	Deep breathing activates your parasympathetic nervous system, helping you chill.	https://www.youtube.com/results?search_query=how+to+control+anger
How can you control cravings when that snack stash is calling your name?	Drink water and wait 15 minutes â³	Stare at the chips until they disappear magically ğŸ˜­	Cravings often fade if you pause and hydrateâ€”your brain might just be thirsty.	https://www.youtube.com/results?search_query=how+to+control+food+cravings
Whatâ€™s a W move to control spending without feeling broke?	Set a fun budget and track your vibes ğŸ”¥	Buy 3 air fryers because they were on sale ğŸ¤¡	Budgeting doesnâ€™t mean no funâ€”it just means knowing where your coins go.	https://www.youtube.com/results?search_query=how+to+control+spending
How do you control your thoughts when your brainâ€™s doing parkour at 2AM?	Write them down and do a brain dump ğŸ˜´	Try to outthink your thoughts until sunrise ğŸ‘ï¸ğŸ‘„ğŸ‘ï¸	Journaling helps offload mental clutter so your brain can chill.	https://www.youtube.com/results?search_query=how+to+control+overthinking
Whatâ€™s the glow up move to control procrastination?	Break tasks into tiny, snackable goals ğŸ¤“â˜ï¸	Wait for the â€œperfect vibeâ€ to start ğŸ˜…	Small wins build momentum and make big tasks feel less sus.	https://www.youtube.com/results?search_query=how+to+control+procrastination
How can you control your breathing when anxiety hits diff?	Inhale for 4, hold for 4, exhale for 4 ğŸ”	Try to out-anxious your anxiety with more anxiety ğŸ’€	Box breathing calms your nervous system and brings you back to center.	https://www.youtube.com/results?search_query=how+to+control+breathing+anxiety
Whatâ€™s a boujee way to control your environment for better focus?	Declutter your space and light a candle ğŸ•¯ï¸	Work in a tornado of laundry and chaos ğŸ¤ª	A clean, cozy space signals your brain itâ€™s time to lock in.	https://www.youtube.com/results?search_query=how+to+control+your+environment+for+focus
How do you control your energy when youâ€™re lowkey drained?	Move your body and get some sunlight ğŸ”¥	Chug 5 energy drinks and hope for the best ğŸ˜­	Light exercise and natural light boost dopamine and energy levels.	https://www.youtube.com/results?search_query=how+to+control+energy+levels
Whatâ€™s the GOAT way to control your schedule without losing your mind?	Use time blocks and protect your â€œnoâ€ ğŸ§ 	Say yes to everything and hope for a miracle ğŸ¤¡	Time blocking helps you own your hours instead of letting them own you.	https://www.youtube.com/results?search_query=how+to+control+your+schedule